platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Air Fresheners,37414,342234,342234,Godrej Aer Power Pocket Air Freshener (Assorted Fragrance),Godrej Aer,195,166,1 set (3 pieces),True,9,9,Air Fresheners,Air Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/4b879dc5-2105-4974-b8c4-8b4d71f2423e.png;https://cdn.grofers.com/da/cms-assets/cms/product/ef9561d0-8366-4648-bebe-a51824aa4faf.png;https://cdn.grofers.com/da/cms-assets/cms/product/b11569e1-0c8e-4701-9a6f-8e4c1b8dd122.png;https://cdn.grofers.com/da/cms-assets/cms/product/cd133602-4a11-48b2-8005-5e05ee923954.png;https://cdn.grofers.com/da/cms-assets/cms/product/62b4e54a-6f46-46dc-96ba-96c08486b53b.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,1,4.725000
blinkit,Air Fresheners,37414,438510,438510,Godrej Aer Morning Jasmine Delight Air Freshener,Godrej Aer,99,99,220 ml,True,5,5,Air Fresheners,Air Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/f693f645-c1ed-407a-8328-c56b1e398679.png;https://cdn.grofers.com/da/cms-assets/cms/product/09e280c4-c77e-4795-89ef-9648bc1719fc.png;https://cdn.grofers.com/da/cms-assets/cms/product/fbdf663d-5e74-4c86-8ee2-b8d9bec709de.png;https://cdn.grofers.com/da/cms-assets/cms/product/8f3d330c-c96d-43ab-93ef-208c7a8813db.png;https://cdn.grofers.com/da/cms-assets/cms/product/2016ba81-e450-4b81-8ecb-28a588ab91be.png;https://cdn.grofers.com/da/cms-assets/cms/product/83726b72-da35-4da2-b1d8-19f256937bf4.png;https://cdn.grofers.com/da/cms-assets/cms/product/a660f53f-4721-45e3-ab2d-859725062ce3.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,2,4.553000
blinkit,Air Fresheners,37414,502827,502827,Godrej Aer Morning Jasmine Delight Air Freshener - Pack of 2,Godrej Aer,198,197,2 x 220 ml,True,2,2,Air Fresheners,Air Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/77bb2262-c83b-4413-8aac-a943879c4512.png;https://cdn.grofers.com/da/cms-assets/cms/product/08f6d997-08e0-4d23-b763-425a97972270.png;https://cdn.grofers.com/da/cms-assets/cms/product/fdd489a2-ed0e-47aa-aa00-0950ff2e828b.png;https://cdn.grofers.com/da/cms-assets/cms/product/dbd3d9cc-2b7a-40e0-a9e3-bb869c46f572.png;https://cdn.grofers.com/da/cms-assets/cms/product/4b320b11-bd52-437a-89bc-0b0aed74a9f8.png;https://cdn.grofers.com/da/cms-assets/cms/product/ac2229d9-c993-427f-89b5-ff642899e890.png;https://cdn.grofers.com/da/cms-assets/cms/product/b44fb12e-3322-4825-8322-e6a7630201ae.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,2,4.709000
blinkit,Air Fresheners,37414,294102,294102,Odonil Lavender Mist Room Freshener,Odonil,169,99,220 ml,True,7,7,Air Fresheners,Room Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/27428aef-0be6-4c77-8e17-1aa6f1ca5b54.png;https://cdn.grofers.com/da/cms-assets/cms/product/2975fc88-3325-4e44-8c6c-ee5e66bade0a.png;https://cdn.grofers.com/da/cms-assets/cms/product/26c21f26-aeb4-48f9-b5a8-b5a370f063aa.png;https://cdn.grofers.com/da/cms-assets/cms/product/cd3191a0-0704-4bd3-9837-7638c0b754c1.png;https://cdn.grofers.com/da/cms-assets/cms/product/866b267e-cb36-4977-bd12-267731708c98.png;https://cdn.grofers.com/da/cms-assets/cms/product/483a52b4-34b5-4b9c-8a70-52db9e7eee9a.png;https://cdn.grofers.com/da/cms-assets/cms/product/12a4f485-6294-4ae7-a9c6-d71532dcce98.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,3,4.644000
blinkit,Air Fresheners,37414,506433,506433,Odonil Lavender Mist Room Freshener - Pack of 2,Odonil,338,197,2 x 220 ml,True,3,3,Air Fresheners,Room Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/063f8a10-711c-4e83-8b28-a541b5a6bbbe.png;https://cdn.grofers.com/da/cms-assets/cms/product/ee46001c-2444-4557-b7d2-38a9605f1acb.png;https://cdn.grofers.com/da/cms-assets/cms/product/693ab844-3382-4e10-bc7a-d1dbd95a5a55.png;https://cdn.grofers.com/da/cms-assets/cms/product/c00202b7-f554-4844-8f1d-581c2facf7a6.png;https://cdn.grofers.com/da/cms-assets/cms/product/8dc7385e-3ff1-4e42-89a5-1693dd5a3174.png;https://cdn.grofers.com/da/cms-assets/cms/product/f0025362-ecb7-4ffa-bf6d-9e1df7dd912c.png;https://cdn.grofers.com/da/cms-assets/cms/product/4dd81cc9-cdac-439c-be77-a8cb4ae7ccfb.png;https://cdn.grofers.com/da/cms-assets/cms/product/d21f6e02-302e-49d2-bb27-bc04d7b520d1.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,3,4.637000
blinkit,Air Fresheners,37414,378966,378966,Airwick Air Freshener (Rose & Saffron),Airwick,169,164,245 ml,True,1,1,Air Fresheners,Air Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/cd224316-5428-4781-ade3-708829f7b09f.png;https://cdn.grofers.com/da/cms-assets/cms/product/f6e95ae1-3f46-473d-88fb-1280dec664b5.png;https://cdn.grofers.com/da/cms-assets/cms/product/33e4fc2f-8b84-4374-a2d1-bfa9202dd3e6.png;https://cdn.grofers.com/da/cms-assets/cms/product/9c419e98-2b8b-428a-83ad-cdb284dd3245.png;https://cdn.grofers.com/da/cms-assets/cms/product/3972609e-5468-46d5-b242-f2866d3b00a1.png;https://cdn.grofers.com/da/cms-assets/cms/product/9aacd024-8ecd-4aa4-985a-084697408f69.png;https://cdn.grofers.com/da/cms-assets/cms/product/8ee8be2b-9e92-49a3-9ab1-4105255ec192.png;https://cdn.grofers.com/da/cms-assets/cms/product/436c82ba-f2ad-40a5-905c-6a46ddf69024.png;https://cdn.grofers.com/da/cms-assets/cms/product/19095e15-2750-4386-ba79-6f70adb680b9.png;https://cdn.grofers.com/da/cms-assets/cms/product/b5c968af-ba92-498b-8e39-7de6272e0dc1.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,4,3.975000
blinkit,Air Fresheners,37414,518707,518707,Absorbia Dehumidifier,Absorbia,897,897,3 x 440 g,True,1,1,Air Fresheners,Dehumidifier,https://cdn.grofers.com/da/cms-assets/cms/product/3e9b2fd4-b587-434a-a988-a4ed6f9450c6.png;https://cdn.grofers.com/da/cms-assets/cms/product/e2e2bc0a-ec5a-470a-9cb2-2635ea801ea6.png;https://cdn.grofers.com/da/cms-assets/cms/product/f60fb97f-540a-4549-b7eb-dbcf74c78627.png;https://cdn.grofers.com/da/cms-assets/cms/product/17c6f32d-48cc-432e-93d7-10263f286b4b.png;https://cdn.grofers.com/da/cms-assets/cms/product/993dedcd-88d9-4b31-b4a1-45b7e62ec33d.png;https://cdn.grofers.com/da/cms-assets/cms/product/f1c59d24-b50c-4b3b-9244-8b67436bfbb0.png;https://cdn.grofers.com/da/cms-assets/cms/product/548f6aa7-4274-4385-8fff-bdb9f1270653.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,4.322000
blinkit,Air Fresheners,34540,629583,629583,Absorbia Moisture Absorber (Classic) with AG + IONs,Absorbia,799,540,1 pack (3 pieces),True,3,3,Air Fresheners,Moisture Absorber,https://cdn.grofers.com/da/cms-assets/cms/product/5329b953-1a8e-4812-9ee8-4dbc8b6d152b.png;https://cdn.grofers.com/da/cms-assets/cms/product/23b8c4f0-96eb-4a04-b2d1-413e47bcd668.png;https://cdn.grofers.com/da/cms-assets/cms/product/4fd20e8c-125c-4d98-97c9-52c6f334276b.png;https://cdn.grofers.com/da/cms-assets/cms/product/2b974288-e0a1-4210-a49b-d56b3ec862c6.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,6,0
blinkit,Air Fresheners,37414,676153,676153,Godrej Aer Plug Violet Bloom Air Freshener with Refills,Godrej Aer,249,237,1 unit,True,8,8,Air Fresheners,Air Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/6325f69f-a710-4e04-8046-af017fe5c9f2.png;https://cdn.grofers.com/da/cms-assets/cms/product/f3a581ba-e1b8-4aa5-884e-98f5f3f8b063.png;https://cdn.grofers.com/da/cms-assets/cms/product/fe5d0124-a2b9-45fb-9faa-46fea5e2fcfb.png;https://cdn.grofers.com/da/cms-assets/cms/product/462d228f-2cd1-45b1-b3ce-5839e319ea64.png;https://cdn.grofers.com/da/cms-assets/cms/product/2bb02ef0-ca18-4a46-b5d3-c3874b0c7e52.png;https://cdn.grofers.com/da/cms-assets/cms/product/c6dd25b5-3be2-4bf9-aca6-a001e67d6265.png;https://cdn.grofers.com/da/cms-assets/cms/product/d04958d2-6555-4c53-b935-fd841e03a83f.png;https://cdn.grofers.com/da/cms-assets/cms/product/f22b1673-6f32-41cd-9b6a-c381ee46ed1d.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,7,0
blinkit,Air Fresheners,34540,19106,19106,Airwick Freshmatic Automatic Air Freshener Refill (Lavender & Lotus),Airwick,330,281,250 ml,True,1,1,Air Fresheners,Air Freshener,https://cdn.grofers.com/da/cms-assets/cms/product/af1afb43-91d2-4081-8258-360ede710233.png;https://cdn.grofers.com/da/cms-assets/cms/product/1a8d6cbe-1ca6-4c4d-9566-e8b45e31387a.png;https://cdn.grofers.com/da/cms-assets/cms/product/8c326872-0f7a-42fb-ba09-7a9c4f82e9de.png;https://cdn.grofers.com/da/cms-assets/cms/product/cc8b7a71-7bd5-4dec-986d-fa3ae766a273.png;https://cdn.grofers.com/da/cms-assets/cms/product/48d6905e-1e05-4ff2-9c10-673aa9878cbe.png;https://cdn.grofers.com/da/cms-assets/cms/product/3ce86f63-7e6d-4f93-93e9-0823a04a71ef.png;https://cdn.grofers.com/da/cms-assets/cms/product/43bd65df-ad63-4465-a44b-16c2391a4e55.png;https://cdn.grofers.com/da/cms-assets/cms/product/d1ed2610-c425-4d94-af5d-f12b8bd34377.png;https://cdn.grofers.com/da/cms-assets/cms/product/abdcbd22-2735-40f0-a330-4e7d72747bd6.png;https://cdn.grofers.com/da/cms-assets/cms/product/7c5e0f61-0f76-458e-af95-9131c7f8a6f3.png;https://cdn.grofers.com/da/cms-assets/cms/product/f8a1f406-134f-4792-b633-d9af0dd28806.png;https://cdn.grofers.com/da/cms-assets/cms/product/9243ccb9-c2a9-4d0d-b5fa-cbe91db894c4.png;https://cdn.grofers.com/da/cms-assets/cms/product/e6b54741-23f9-4c0d-add3-06b0d68907ad.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,8,4.274000
