platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Household Insecticides,37584,556245,556245,Herbal Strategi Termite Insect Repellent Spray,Herbal Strategi,240,240,100 ml,True,1,1,Sprays,Insect Repellent,https://cdn.grofers.com/da/cms-assets/cms/product/4c4cadf0-a65f-4572-9d89-02114b05a6f3.png;https://cdn.grofers.com/da/cms-assets/cms/product/945031ba-b0a7-445e-a2b1-3f7245fb4a0d.png;https://cdn.grofers.com/da/cms-assets/cms/product/76b9bc91-0f24-4d81-ad9e-db47f5785fd0.png;https://cdn.grofers.com/da/cms-assets/cms/product/798ba8e7-e213-4d6e-ad3d-db72292e20d5.png;https://cdn.grofers.com/da/cms-assets/cms/product/96507fff-ed26-476c-b8a7-4dc1a31ad80f.png;https://cdn.grofers.com/da/cms-assets/cms/product/a1bc0f5c-005d-4176-b07d-387d04cd77ff.png;https://cdn.grofers.com/da/cms-assets/cms/product/8034f300-5d5f-435c-9ae4-2e02cb21ad55.png;https://cdn.grofers.com/da/cms-assets/cms/product/ea826b75-d6c0-4092-a602-a799aa6d1e46.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,1,4.607000
blinkit,Household Insecticides,37584,551900,551900,Wonder Fresh Boric Acid Powder,Wonder Fresh,299,200,200 g,True,1,1,Insect Repellants,Boric Acid Powder,https://cdn.grofers.com/da/cms-assets/cms/product/ed11513f-2b93-435f-bb7c-d409705fefcf.png;https://cdn.grofers.com/da/cms-assets/cms/product/c08222db-08c2-491d-9b6c-fb1777313842.png;https://cdn.grofers.com/da/cms-assets/cms/product/051f9cc4-cfbb-4597-9047-eed13f86fe5b.png;https://cdn.grofers.com/da/cms-assets/cms/product/5417bfc0-fcea-4cc2-8c54-37fb872a8833.png;https://cdn.grofers.com/da/cms-assets/cms/product/e3bf25e6-04d5-46b3-9c5b-42578586998a.png;https://cdn.grofers.com/da/cms-assets/cms/product/4a367693-a780-4162-97df-2e0a26072f9b.png;https://cdn.grofers.com/da/cms-assets/cms/product/1fb0cd37-ba9e-45c5-bbf7-5e266101e22f.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,2,4.385000
blinkit,Household Insecticides,37584,647324,647324,TrustBasket Plants Neem Oil Spray for Pest Control,TrustBasket,1199,179,500 ml,True,2,2,Gardening,Fertilizer,https://cdn.grofers.com/da/cms-assets/cms/product/fdf98977-e67d-44cc-bd8d-f456df159be1.png;https://cdn.grofers.com/da/cms-assets/cms/product/d31a8d57-e833-4ea1-a328-23f0f9670ebd.png;https://cdn.grofers.com/da/cms-assets/cms/product/4a69cbbd-3edf-4fd7-a20e-83a751ad58f2.png;https://cdn.grofers.com/da/cms-assets/cms/product/923fb811-2c80-4d93-bd03-f511fcfcca2f.png;https://cdn.grofers.com/da/cms-assets/cms/product/47a223c3-2d90-4b18-854a-d8b4e9ed3ab4.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,3,4.303000
blinkit,Household Insecticides,37584,441856,441856,Herbal Strategi 100% Herbal Floor Cleaner (Natural Disinfectant & Insect Repellent),Herbal Strategi,116,116,500 ml,True,1,1,Floor Cleaners and Phenyl,Herbal Floor Cleaner,https://cdn.grofers.com/da/cms-assets/cms/product/9ee80115-debf-4492-bb5e-8bfbcd017ec4.png;https://cdn.grofers.com/da/cms-assets/cms/product/f4e90844-9791-4e81-91a2-53fba40de04c.png;https://cdn.grofers.com/da/cms-assets/cms/product/69eb1776-7245-43a7-9605-04481f746508.png;https://cdn.grofers.com/da/cms-assets/cms/product/d1c3203f-de8d-486b-9241-b3bcea68fae3.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,4,4.664000
blinkit,Household Insecticides,37584,484532,484532,Herbal Strategi 100% Herbal Floor Cleaner (Natural Disinfectant & Insect Repellent) - Pack of 2,Herbal Strategi,232,230,2 x 500 ml,True,0,0,Floor Cleaners and Phenyl,Herbal Floor Cleaner,https://cdn.grofers.com/da/cms-assets/cms/product/73a43ca7-c107-4e5c-b9bc-7873aec11b69.png;https://cdn.grofers.com/da/cms-assets/cms/product/ff33dfed-d774-481c-8d0a-da431e15d304.png;https://cdn.grofers.com/da/cms-assets/cms/product/933dcafd-96f5-4ee4-8318-4e1ab1851af2.png;https://cdn.grofers.com/da/cms-assets/cms/product/4b8b620c-354a-4335-90f5-3095cacf9cf6.png;https://cdn.grofers.com/da/cms-assets/cms/product/59d728fb-6e24-4269-a1f8-df49cb990860.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,4,0
blinkit,Household Insecticides,37584,651274,651274,Leafy Tales Pure Cold Pressed Neem Oil (Water Soluble for Plants),Leafy Tales,449,179,200 ml,True,1,1,Gardening,Fertilizer,https://cdn.grofers.com/da/cms-assets/cms/product/c3616a2b-0530-4feb-ba72-c5c3a9187c74.png;https://cdn.grofers.com/da/cms-assets/cms/product/f7f51be9-93bd-4ff3-b3fc-9e2f36fd37b2.png;https://cdn.grofers.com/da/cms-assets/cms/product/918a12d2-c172-465c-947f-42e29c1e7aab.png;https://cdn.grofers.com/da/cms-assets/cms/product/5d0720c0-d3a4-4579-9a38-b7656c5dc9e2.png;https://cdn.grofers.com/da/cms-assets/cms/product/72dec9a5-04fd-41d9-9e2e-271ec5186173.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,0
blinkit,Household Insecticides,37584,651277,651277,Leafy Tales Neem Cake Powder (Organic Fertilizer / Pest Repellent for Plants),Leafy Tales,339,339,1 kg,True,0,0,Gardening,Fertilizer,https://cdn.grofers.com/da/cms-assets/cms/product/e8a89680-a222-4740-b0be-e370bc46b3a8.png;https://cdn.grofers.com/da/cms-assets/cms/product/2b14196e-1199-4f25-93d8-1b467bf98a4e.png;https://cdn.grofers.com/da/cms-assets/cms/product/1585260f-1100-49f0-80cd-66b42829aebf.png;https://cdn.grofers.com/da/cms-assets/cms/product/084042d3-aa70-4087-8b97-2c836154cc2b.png;https://cdn.grofers.com/da/cms-assets/cms/product/0078a00a-e9d0-4a0f-80f5-1114078043eb.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,0
blinkit,Household Insecticides,37584,441857,441857,"Herbal Strategi 100% Herbal Floor Cleaner (Natural Disinfectant & Insect Repellent, 2 l)",Herbal Strategi,405,405,2 ltr,True,1,1,Floor Cleaners and Phenyl,Herbal Floor Cleaner,https://cdn.grofers.com/da/cms-assets/cms/product/47638738-39cc-49f1-91e8-6f06d6c79c69.png;https://cdn.grofers.com/da/cms-assets/cms/product/501a4bee-be90-4e6e-a3cc-f1012f97c4cc.png;https://cdn.grofers.com/da/cms-assets/cms/product/a5728196-13f8-43b5-8a85-825c589aa5dd.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,6,4.563000
blinkit,Household Insecticides,37584,441853,441853,Herbal Strategi Just Out Cockroach Spray Repellent,Herbal Strategi,240,240,100 ml,True,2,2,Sprays,Cockroach Spray,https://cdn.grofers.com/da/cms-assets/cms/product/f1ea9561-65de-4f92-a586-c6e1de4fa9d7.png;https://cdn.grofers.com/da/cms-assets/cms/product/f44b9d4a-c009-48fe-b2d0-d2b925452e9b.png;https://cdn.grofers.com/da/cms-assets/cms/product/19cfbaaf-7e24-4a6e-a7f4-b8403d295719.png;https://cdn.grofers.com/da/cms-assets/cms/product/3686294a-d6a1-4f7f-934b-70488a60c642.png;https://cdn.grofers.com/da/cms-assets/cms/product/308ce4c3-d4fa-4c6f-9202-24b3cade42fc.png;https://cdn.grofers.com/da/cms-assets/cms/product/12946761-b86c-4c58-bfe3-ac52b8ed736a.png;https://cdn.grofers.com/da/cms-assets/cms/product/4971d4a6-3d72-4a3c-8201-35daeb08dc9c.png;https://cdn.grofers.com/da/cms-assets/cms/product/36f9639f-321d-4ade-b079-eac6859f01aa.png;https://cdn.grofers.com/da/cms-assets/cms/product/312a9fd7-e6f7-4411-8108-dafdafe2e1bd.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,7,4.382000
blinkit,Household Insecticides,37584,446810,446810,ITC Nimyle Eco friendly Herbal Floor Cleaner,ITC Nimyle,205,180,975 ml,True,1,1,Floor Cleaners and Phenyl,Herbal Floor Cleaner,https://cdn.grofers.com/da/cms-assets/cms/product/ef48aa6c-11df-4d9e-b579-1af7b50dc932.png;https://cdn.grofers.com/da/cms-assets/cms/product/b3805862-d75a-43a7-b840-625d7bc85c7a.png;https://cdn.grofers.com/da/cms-assets/cms/product/c88db2d1-1348-414c-aeb1-a621d9377ca7.png;https://cdn.grofers.com/da/cms-assets/cms/product/e1d33410-2c14-45ba-843d-58e8f68e8811.png;https://cdn.grofers.com/da/cms-assets/cms/product/5f373c19-0872-467d-af40-36cc018add81.png;https://cdn.grofers.com/da/cms-assets/cms/product/6209493d-0428-4806-b655-346c75f38387.png;https://cdn.grofers.com/da/cms-assets/cms/product/21f759f3-4ee0-4ee3-a292-53fd73d261ad.png;https://cdn.grofers.com/da/cms-assets/cms/product/dff20d87-e4df-4d95-8b3c-5b87d010d002.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,8,4.749000
