id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
103,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.8958224,77.616253""","{""full"":""Ground Floor ,Survey Nos. 39/1, 39/2A, 39/2 and 39/3, situated at Arekere Village, 2nd Main Road, Begur Hobli, Bengaluru South Taluk, Bengaluru  560076""}",Begur Hobli,Bangalore,"12.90,77.62"
12,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.0271118,77.6272142""","{""full"":""1st floor, 1425/ 497, HBR 1st stage, 4th block, Hennur Bellary Road, Bangalore - 560045""}","HBR 1st stage, 4th block",Bangalore,"13.03,77.63"
128,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.98967,77.713268""","{""full"":""GF,S.NO No.10/1A hoodi village, KR puram , Garuacharplaya , Bengaluru -560048""}",Hoodi Village,Bangalore,"12.99,77.71"
129,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9520393,77.72088529999999""","{""full"":""Ground Floor ,Sy. No. 3 situated at Thubarahalli Village, Varthur Hobli, Bengaluru South Taluk-560066""}",Varthur Hobli,Bangalore,"12.95,77.72"
130,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.165214,77.4092323""","{""full"":""Ground Floor , Survey No. 220/1 , Kodihalli Village, Varthur Hobli, Kodihalli Main Road, 6th Cross, Bengaluru East Taluk, Bengaluru- 560008""}",Kodihalli Village,Bangalore,"13.17,77.41"
131,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9576511,77.66077109999999""","{""full"":""Ground Floor ,Corporation No.6,PID No. 73-92-6 ,Civil Aviation, Konena Agrahara Varthur Hobli, Bengaluru East Taluk , BBMP Ward No. 113- Konena Agrahara Bengaluru -560017""}",Konena Agrahara,Bangalore,"12.96,77.66"
147,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9500645,77.62402809999999""","{""full"":""GF,  Survey No.21/2 ,Ejipura Village, Begur Hobli, Bengaluru South Taluk BBMP, Bengaluru-560095""}",Begur Hobli,Bangalore,"12.95,77.62"
154,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9858672,77.6713031""","{""full"":""GF, Sy No.173/2 Situated at Mahadevpura village ,KR puram Hobli ,Bengaluru -560093""}",Mahadevpura village,Bangalore,"12.99,77.67"
159,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9698737,77.6967134""","{""full"":""Ground Floor,Site No. 8 ,Chinnapannahalli Village, 4th Main, 1st Cross, K R Puram Hobli, Marathalli, Bengaluru South Taluk, Bengaluru presently within the limits of BBMP Ward No. 85- Doddanekkundi Bengaluru- 560037""}",Doddanekkundi,Bangalore,"12.97,77.70"
163,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9698196,77.7499721""","{""full"":""Ground Floor, Property No 197,BBMP PID No 084,W0351-108,Old No 23/2,Whitefield, KR Puram Hobli, Bangalore East Taluka, BBMP ward no 84 - 560066""}",Whitefield,Bangalore,"12.97,77.75"
