platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Fruits,35568,504259,504259,Farmley Date Bites Dry Fruit (No Added Sugar),Farmley,400,349,200 g,True,6,6,Dates,Bites,https://cdn.grofers.com/da/cms-assets/cms/product/707fcedd-f16e-4bba-8fab-8579058b8aaf.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/7d5cd5c0-5075-4ea2-9453-242f26f5461f.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/8a48903e-fe0c-4883-aa58-5edbb22aaae2.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/ca7d764e-a23a-4545-b155-3b3b6b7032c3.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/ef70a0c3-9b3c-4e45-add2-72df795c4659.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/1e8a6cf8-88df-4ac7-9c2d-556b2068c036.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/d809d8b2-72bb-44b1-815b-5fed35f7e083.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/71075139-8d1a-49c3-960b-6f41569c7806.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/0fff6d16-f4a6-4618-9b4f-889cfabf323a.jpg?ts=1739190571;https://cdn.grofers.com/da/cms-assets/cms/product/7c5aed2b-e53b-4b4a-8989-adbc71fcb287.jpg?ts=1739190571,1,4.758000
blinkit,Fruits,35568,184269,184269,Jamun,,60,48,(250-280) g,True,50,50,Fresh Fruits,Jamun,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/876b89b9-9c7d-4f7d-9fc3-974de0ac65af.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/d78a4af7-dcc6-4019-9d52-b60291b251e7.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/e732e5ab-b716-49be-8ed0-0bc8524ced31.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3716e7dc-5fd9-4bdf-bf2f-bbb6bc8eaefd.jpg,2,0
blinkit,Fruits,35568,294599,294599,Mini Orange (Kittale Hannu),,133,98,250 g,True,14,14,Exotics,Orange,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/26b5e48e-c7ac-4553-80a9-359a8f88a78a.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/88a9ff5a-9290-40c7-8766-3425f7de8b39.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ec3c64c9-62c6-4ece-bf03-227adc20be21.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cb66b3bd-172c-492f-a8d2-347ce7fe0ff4.jpg?ts=1711473134,3,0
blinkit,Fruits,35568,532033,532033,Wonderland Foods Healthy Dry Fruits & Seeds Mix,Wonderland Foods,360,200,200 g,True,1,1,Seeds,Seeds Mix,https://cdn.grofers.com/da/cms-assets/cms/product/ec269006-794b-44dc-8a66-ab9e00403192.jpg?ts=1730900437;https://cdn.grofers.com/da/cms-assets/cms/product/439933ac-c5a2-4e3c-9c4b-232809714e57.jpg?ts=1730900438;https://cdn.grofers.com/da/cms-assets/cms/product/ef5ebf90-4010-4909-9d2e-5c6e97a6253e.jpg?ts=1730900639;https://cdn.grofers.com/da/cms-assets/cms/product/5ef55628-64d5-4bd4-af73-4858834aaadf.jpg?ts=1730900640;https://cdn.grofers.com/da/cms-assets/cms/product/33339df9-849c-4f5e-8c34-7420fd2a787b.jpg?ts=1730900640;https://cdn.grofers.com/da/cms-assets/cms/product/d2e0b6f8-83d3-49ba-893c-bafb3a4635f7.jpg?ts=1730900641;https://cdn.grofers.com/da/cms-assets/cms/product/086ac088-2b80-45a4-8a67-422af364993e.jpg?ts=1730900641;https://cdn.grofers.com/da/cms-assets/cms/product/d82714c6-ea6d-4645-8a11-44a548f7480c.jpg?ts=1730900642;https://cdn.grofers.com/da/cms-assets/cms/product/aa119ee4-98c0-492d-8b4d-7e4ec89cb9f0.jpg?ts=1730900642,4,2.973000
blinkit,Fruits,35568,491445,491445,Farmley Panchmeva Panchmeva (Dry Fruit Mishrana),Farmley,549,356,405 g,True,2,2,Dry Fruit Assortment,Panchmeva,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/4cb83cf6-8ce8-44ad-961a-e04f722fb8f7.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/81ff1a33-1b16-4a3b-8bda-2e4ec1c57b91.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/81104d58-5e32-4723-9b30-0dd754d03dd2.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a6e28dfc-a125-46fd-bb05-466339dfc740.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/96447b7b-2ff2-4b1e-8aaa-0106179e54fa.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/5cb82edb-1d7a-4b95-a5d3-cbed76ff3b18.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/34295e2e-f83d-4112-a831-52b84145c4fe.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/72cd307c-c818-42ed-bc6b-3851f0598f59.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cd8611c3-5787-44e9-8f9a-66ff7ebe285f.jpg?ts=1707289474;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ef545d70-9418-419f-8e90-fd038d279fbf.jpg?ts=1707289474,5,4.616000
blinkit,Fruits,35568,368933,368933,Chaunsa Mango (Maavina Hannu),,69,54,(500-700) g,True,14,14,Fresh Fruits,Mango,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/6147d3f5-4a59-4536-88c8-57cf398bc1ec.jpg?ts=1719414056;https://cdn.grofers.com/app/images/products/sliding_image/368933b.jpg?ts=1690814762,6,0
blinkit,Fruits,35568,342340,342340,Baby Banana (Baale Hannu),,36,26,4 pieces,True,50,50,Fresh Fruits,Banana,https://cdn.grofers.com/da/cms-assets/cms/product/4e17db76-2404-49d6-8c0e-9e0b48552551.jpg?ts=1740114928;https://cdn.grofers.com/da/cms-assets/cms/product/73380a99-6eea-4d1e-9e6b-f5bd276ac56d.jpg?ts=1740114928;https://cdn.grofers.com/da/cms-assets/cms/product/af821f0b-20f6-449a-9130-574718a388d1.jpg,7,0
blinkit,Fruits,35568,64527,64527,Dragon Fruit - Red Flesh,,124,99,1 piece (300-400 g),True,26,26,Exotics,Dragon Fruit,https://cdn.grofers.com/da/cms-assets/cms/product/405451bd-babd-48bd-aeb7-1febc2c8df86.jpg?ts=1750854507;https://cdn.grofers.com/da/cms-assets/cms/product/bff6d92d-79cc-4e93-8181-242d64fac31c.jpg?ts=1750854507;https://cdn.grofers.com/da/cms-assets/cms/product/8fe630e5-fc32-4999-9234-cbeca5a22fa1.jpg?ts=1750854507;https://cdn.grofers.com/da/cms-assets/cms/product/40ba8cf7-cd4e-484d-9eb9-83be0b0cef8d.jpg?ts=1750854507,8,0
blinkit,Fruits,35568,490817,490817,Farmley 8-In-1 Berries Mix,Farmley,349,270,200 g,True,1,1,Dry Fruit Assortment,Berries Mix,https://cdn.grofers.com/da/cms-assets/cms/product/b11c47b7-c5f7-47fe-b7d5-3fdafffaeb41.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/4c758c92-e648-482e-974d-d03dcfeaa282.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e71d6aea-ee01-4ea3-a76d-041a53af9aa7.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e45a1b08-ae23-4695-9b08-a8ad2bf26168.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/e0b6dade-b820-49c0-bb9b-47a362ea5c98.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/8017ae4f-09ea-4595-83b5-bb0763c92ec6.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/fd76c2cf-54f5-4022-a574-8e2df8a44e82.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/99fe3835-b7cb-46a4-83fe-3c53fa1d2a3f.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/04af9b53-e66d-46ef-95a1-3e0458dde9cb.jpg?ts=1739449778;https://cdn.grofers.com/da/cms-assets/cms/product/eca1988e-58c3-4a17-914f-30c7d6cc8d76.jpg?ts=1739449778,9,4.642000
blinkit,Fruits,35568,470636,470636,Banana (Baale Hannu),,33,26,3 pieces,True,50,50,Fresh Fruits,Banana,https://cdn.grofers.com/da/cms-assets/cms/product/1ab2363c-4f0e-4aa0-ae18-f34baeb8a2e0.jpg?ts=1751039940;https://cdn.grofers.com/da/cms-assets/cms/product/b7b074e5-d670-47c0-b026-a785826eb83c.jpg?ts=1751039940;https://cdn.grofers.com/da/cms-assets/cms/product/87b3dd35-f590-4291-af5b-f2029b0ee2fb.jpg?ts=1751039940;https://cdn.grofers.com/da/cms-assets/cms/product/444bbc33-8e9c-43fd-9b70-1f45aead77ab.jpg?ts=1751039940,10,0
