platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Fruits,36375,565400,565400,Yu Tropical Punch 100% Mixed Fruit Juice With Coconut Bits,Yu,90,66,250 ml,True,1,1,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/3be21653-93a2-4341-8373-cfd48684b433.jpg?ts=1745814534;https://cdn.grofers.com/da/cms-assets/cms/product/b4fb9058-6989-41e0-a045-0e9fb618282a.jpg?ts=1745814535;https://cdn.grofers.com/da/cms-assets/cms/product/1a0e4f2d-a9a2-451c-97d6-6d9c4f90492a.jpg?ts=1745814535;https://cdn.grofers.com/da/cms-assets/cms/product/9195192c-36ef-437e-97dc-5c7db8ed6077.jpg?ts=1745814536;https://cdn.grofers.com/da/cms-assets/cms/product/ac69e8e2-f6d2-4862-b59a-fc240e6e8edc.jpg?ts=1745814536;https://cdn.grofers.com/da/cms-assets/cms/product/2b5e9da0-7b7d-4b73-9f43-ec0821c6c3e9.jpg?ts=1745814537;https://cdn.grofers.com/da/cms-assets/cms/product/8dfc18b6-f91c-4752-839b-d8e104c40b34.jpg?ts=1745814537;https://cdn.grofers.com/da/cms-assets/cms/product/81d66c55-d267-4aba-8777-d14b3cdf7755.jpg?ts=1745814537;https://cdn.grofers.com/da/cms-assets/cms/product/06fcc9ef-6554-4154-8413-90cfbbcae4c2.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/f2f7c2f8-26b1-4bf6-860a-162a16b92007.jpg,1,3.691000
blinkit,Fruits,36375,580559,580559,Yu Tropical Punch 100% Mixed Fruit Juice With Coconut Bits - Pack of 2,Yu,180,131,2 x 250 ml,True,0,0,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/6c4387f6-9ff9-4d21-a343-8247aeac731c.jpg?ts=1743148899;https://cdn.grofers.com/da/cms-assets/cms/product/297e6d36-bf70-4e3e-bc69-5b1972a46395.jpg?ts=1743148900;https://cdn.grofers.com/da/cms-assets/cms/product/d05d85ae-5341-4720-958f-6d9c9f162543.jpg?ts=1743148900;https://cdn.grofers.com/da/cms-assets/cms/product/e3c62edf-e422-48f1-a025-845d6d05e9be.jpg?ts=1743148901;https://cdn.grofers.com/da/cms-assets/cms/product/e9a93de8-21df-4631-b584-26c77f3206d5.jpg?ts=1743148901;https://cdn.grofers.com/da/cms-assets/cms/product/5535d83e-033b-4d0e-9613-5560d0c24125.jpg?ts=1743148902;https://cdn.grofers.com/da/cms-assets/cms/product/7c59f67c-8eff-4c3a-b73a-1655241aa30e.jpg?ts=1743148902;https://cdn.grofers.com/da/cms-assets/cms/product/cc73d9e3-d09a-4f7c-87bf-9054400b1147.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/cc5bee67-874a-4ed5-b50e-e86d04a8ca12.jpg,1,3.755000
blinkit,Fruits,36375,565818,565818,Yu Tropical Punch 100% Mixed Fruit Juice With Coconut Bits - Pack of 3,Yu,270,156,750 ml (3 x 250 ml),True,2,2,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/aa3e91af-e965-4b1e-9b76-b42672c21814.jpg?ts=1745814544;https://cdn.grofers.com/da/cms-assets/cms/product/a306652f-9b3f-42a1-89d3-a33fb57163c5.jpg?ts=1745814545;https://cdn.grofers.com/da/cms-assets/cms/product/770dd69e-4e60-4286-9675-4b05a4ddaae9.jpg?ts=1745814545;https://cdn.grofers.com/da/cms-assets/cms/product/8f52dadb-efef-44ec-8b63-252a60a63cef.jpg?ts=1745814546;https://cdn.grofers.com/da/cms-assets/cms/product/1f3327be-f7b7-48bc-bd01-82b8e054d728.jpg?ts=1745814546;https://cdn.grofers.com/da/cms-assets/cms/product/fa26571d-0664-4622-a961-4ca657f00929.jpg?ts=1745814547;https://cdn.grofers.com/da/cms-assets/cms/product/3ccb32ae-a62f-4230-b1d5-a13ebb1d7333.jpg?ts=1745814547;https://cdn.grofers.com/da/cms-assets/cms/product/b07d4cd8-85de-433b-9327-3ac8c41c83a9.jpg?ts=1745814547;https://cdn.grofers.com/da/cms-assets/cms/product/5bdbed2b-29d3-42b3-861f-d4ad33b0c840.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/37350d32-32d8-4ed2-9dec-f21c1b12eba9.jpg,1,3.791000
blinkit,Fruits,36375,184269,184269,Jamun,,60,47,(250-280) g,True,50,50,Fresh Fruits,Jamun,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/876b89b9-9c7d-4f7d-9fc3-974de0ac65af.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/d78a4af7-dcc6-4019-9d52-b60291b251e7.jpg?ts=1714125339;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/e732e5ab-b716-49be-8ed0-0bc8524ced31.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3716e7dc-5fd9-4bdf-bf2f-bbb6bc8eaefd.jpg,2,0
blinkit,Fruits,36375,424416,424416,Yellaki Banana (Yellaki Baale Hannu),,73,59,(500-550) g,True,32,32,Fresh Fruits,Banana,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/59e59840-74be-473f-94d4-56ccd8791b11.jpg?ts=1718267338;https://cdn.grofers.com/app/images/products/sliding_image/424416b.jpg?ts=1697346451,3,0
blinkit,Fruits,36375,294599,294599,Mini Orange (Kittale Hannu),,132,98,250 g,True,19,19,Exotics,Orange,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/26b5e48e-c7ac-4553-80a9-359a8f88a78a.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/88a9ff5a-9290-40c7-8766-3425f7de8b39.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ec3c64c9-62c6-4ece-bf03-227adc20be21.jpg?ts=1711473134;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/cb66b3bd-172c-492f-a8d2-347ce7fe0ff4.jpg?ts=1711473134,4,0
blinkit,Fruits,36375,638337,638337,Yu Cranberry Juice with Berry Pieces - 100% Fruit Juice - Pack of 2,Yu,180,131,2 x 250 ml,True,2,2,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/00b86bc6-50f5-4b3b-8747-d5a19b0ff1dd.jpg?ts=1743495991;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/740589e2-9a73-417e-9ab4-03b58508409b.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/eefc6316-6cd8-478a-b796-b8077214d546.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/617e1afe-dedd-4265-bdf5-c6c997dcedfc.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/3b923404-b6f5-477d-8373-b2b5359fd606.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/b9a0b74b-91c7-443a-8177-bb90dcdb509f.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/61e856be-955c-40c1-9253-5dcf6a99e3fb.jpg;https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/91c26bc3-2723-406b-84e0-03b0bd9cf9d6.jpg,5,4.022000
blinkit,Fruits,36375,617691,617691,Yu Cranberry Juice with Berry Pieces - 100% Fruit Juice,Yu,90,66,250 ml,True,5,5,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/2645fe5d-c746-4a22-94e0-fbd4dc6dafd7.jpg?ts=1745814573;https://cdn.grofers.com/da/cms-assets/cms/product/480650c4-26e4-4023-b850-365ee942ae7c.jpg?ts=1745814574;https://cdn.grofers.com/da/cms-assets/cms/product/52aa3324-d737-4774-9896-8fdbc08fd99b.jpg?ts=1745814574;https://cdn.grofers.com/da/cms-assets/cms/product/f4a1dce3-ab42-4d86-a6e5-7b779b897f07.jpg?ts=1745814575;https://cdn.grofers.com/da/cms-assets/cms/product/9f1a0d01-b181-44a5-aebb-911f3a35d1f0.jpg?ts=1745814575;https://cdn.grofers.com/da/cms-assets/cms/product/9e75a460-3352-4b6d-bfa6-21612cafc7a9.jpg?ts=1745814576;https://cdn.grofers.com/da/cms-assets/cms/product/e72009d5-9f47-4c89-971e-4df4d76f6080.jpg?ts=1745814576;https://cdn.grofers.com/da/cms-assets/cms/product/c24ed75a-72bb-423e-a2c0-66614c4a66a4.jpg?ts=1745814576;https://cdn.grofers.com/da/cms-assets/cms/product/43487809-b5a1-4d4c-a20e-7ebf1e864250.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/24232540-07f7-48c1-9783-1774770cfcf3.jpg,5,3.836000
blinkit,Fruits,36375,624406,624406,Yu Cranberry Juice with Berry Pieces - 100% Fruit Juice,Yu,270,163,3 x 250 ml,True,2,2,Fruit Juices,Juice,https://cdn.grofers.com/da/cms-assets/cms/product/83f9b5df-66bb-4983-8aa2-5fd1b3383327.jpg?ts=1745814604;https://cdn.grofers.com/da/cms-assets/cms/product/2b07437d-3b1c-4993-80e0-8d75140ed75e.jpg?ts=1745814604;https://cdn.grofers.com/da/cms-assets/cms/product/2bd42434-0cf4-43b9-aa93-52d57723bc69.jpg?ts=1745814604;https://cdn.grofers.com/da/cms-assets/cms/product/650b8178-848f-44b4-a992-a2b9380ddb70.jpg?ts=1745814605;https://cdn.grofers.com/da/cms-assets/cms/product/753221e5-7ea4-4df2-9fb3-e4171d920fa3.jpg?ts=1745814605;https://cdn.grofers.com/da/cms-assets/cms/product/346cc39b-e849-4f7f-b844-89ed215cbf91.jpg?ts=1745814606;https://cdn.grofers.com/da/cms-assets/cms/product/c9b81a60-9798-4b0b-b516-6985108f8b15.jpg?ts=1745814606;https://cdn.grofers.com/da/cms-assets/cms/product/77706022-400a-4648-b55e-3606ba59c2f7.jpg?ts=1745814607;https://cdn.grofers.com/da/cms-assets/cms/product/d8ed47a0-d8cc-482e-8041-4cfe6ec5e768.jpg;https://cdn.grofers.com/da/cms-assets/cms/product/8056fc03-0b32-45a2-a6d1-031044c5695e.jpg,5,4.223000
blinkit,Fruits,36375,184277,184277,Pomegranate Peeled (Sulida Dalimbe Hannu),,149,99,100 g,True,1,1,Freshly Cut & Sprouts,Pomegranate,https://cdn.grofers.com/da/cms-assets/cms/product/3169156c-c99e-4bda-91eb-b1e6243058a6.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/21515f86-56c8-4755-899a-5bf5e236a28c.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/e700156d-72cb-4cee-9387-64869c6e3797.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/c6120095-91cb-4332-b895-eca05d3250bc.jpg?ts=1748844248;https://cdn.grofers.com/da/cms-assets/cms/product/bd60933e-654f-4cf4-baa2-e9ebec4ac506.jpg?ts=1748844248,6,0
