platform,search_query,store_id,product_id,variant_id,name,brand,mrp,price,quantity,in_stock,inventory,max_allowed_quantity,category,sub_category,images,organic_rank,rating
blinkit,Vegetables,35568,354997,354997,Potato (Alugadde),,41,30,(0.95-1.05) kg,True,10,10,Fresh Vegetables,Potato,https://cdn.grofers.com/da/cms-assets/cms/product/47aacb59-7ce0-438a-9c8d-208e6901fef4.png;https://cdn.grofers.com/da/cms-assets/cms/product/1f5a6652-25a7-4f56-b0be-e06acd9f2e2f.png;https://cdn.grofers.com/da/cms-assets/cms/product/e46eb1e7-1e0a-4740-b585-bacf3599f196.png;https://cdn.grofers.com/da/cms-assets/cms/product/b125015f-2f3b-47ab-9062-4b2fdc93d691.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,1,0
blinkit,Vegetables,35568,3898,3898,Lady Finger (Bendekayi),,19,14,250 g,True,50,50,Fresh Vegetables,Lady Finger,https://cdn.grofers.com/da/cms-assets/cms/product/55b60fb8-ab99-491c-89df-08aa8959f060.png;https://cdn.grofers.com/da/cms-assets/cms/product/0f8d4183-15b8-4b78-9752-0dc4363ef749.png;https://cdn.grofers.com/da/cms-assets/cms/product/d2c5729e-5d37-4132-857b-9ce35b464dc1.png;https://cdn.grofers.com/da/cms-assets/cms/product/fa28da4f-e8f1-4622-a4b8-811189c80da0.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,2,0
blinkit,Vegetables,35568,37743,37743,Desi Tomato 500 g (Naati Tomaato),,21,16,500 g,True,50,50,Fresh Vegetables,Tomato,https://cdn.grofers.com/da/cms-assets/cms/product/667ea47a-84c8-4a73-86fc-a0c8c8281170.png;https://cdn.grofers.com/da/cms-assets/cms/product/a9e0176f-04a1-44f2-b814-552e176edae9.png;https://cdn.grofers.com/da/cms-assets/cms/product/6ef75cc4-15ce-4b5d-9e5e-d51ff0349ae9.png;https://cdn.grofers.com/da/cms-assets/cms/product/8e0469aa-6e40-4c7f-879e-f3052ec06773.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,3,0
blinkit,Vegetables,35568,421741,421741,Varikatri Brinjal (Badanekayi),,21,15,250 g,True,18,18,Fresh Vegetables,Brinjal,https://cdn.grofers.com/da/cms-assets/cms/product/29cfa5b0-1cb5-4b3d-805e-fe413326aa27.png;https://cdn.grofers.com/da/cms-assets/cms/product/c339521f-0a8f-4086-8b65-c4778a415008.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,4,0
blinkit,Vegetables,35568,565122,565122,Yu 100% Natural Coconut Water,Yu,360,180,6 x 200 ml,True,7,7,Coconut Water,Coconut Water,https://cdn.grofers.com/da/cms-assets/cms/product/2ec38df6-909a-4bce-bf2a-e109c867e927.png;https://cdn.grofers.com/da/cms-assets/cms/product/bebca609-aafe-48e9-b96e-6ab23592776e.png;https://cdn.grofers.com/da/cms-assets/cms/product/a2cecceb-8e72-418a-9e63-e73d55b38c27.png;https://cdn.grofers.com/da/cms-assets/cms/product/127c06d3-9334-4cd8-b09b-b1f9fb036f59.png;https://cdn.grofers.com/da/cms-assets/cms/product/22997980-189b-4cab-82b6-179a49dd995a.png;https://cdn.grofers.com/da/cms-assets/cms/product/a011903c-cef6-4fec-b7df-123716a77260.png;https://cdn.grofers.com/da/cms-assets/cms/product/16d08378-0b65-442d-9f3c-399315af63a5.png;https://cdn.grofers.com/da/cms-assets/cms/product/b8988b39-523b-482e-b8e8-cd0f8c03f22d.png;https://cdn.grofers.com/da/cms-assets/cms/product/758f4fda-845c-4109-b68d-a7944dfa3022.png;https://cdn.grofers.com/da/cms-assets/cms/product/093da5d8-f8d4-46f3-98bb-9348c1d06fcc.png;https://cdn.grofers.com/da/cms-assets/cms/product/c8d461de-272f-4e63-9584-76db64457a40.png;https://cdn.grofers.com/da/cms-assets/cms/product/34515689-2e37-4763-b29e-57df93b1ced3.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,4.465000
blinkit,Vegetables,35568,565123,565123,Yu 100% Natural Coconut Water,Yu,60,47,200 ml,True,14,14,Coconut Water,Coconut Water,https://cdn.grofers.com/da/cms-assets/cms/product/af0ae945-04ea-4be2-ae46-455559329852.png;https://cdn.grofers.com/da/cms-assets/cms/product/8f529f4a-f182-45cb-8821-7dc986b358f5.png;https://cdn.grofers.com/da/cms-assets/cms/product/a9ff7715-7621-4eca-be31-e02dd94f70ca.png;https://cdn.grofers.com/da/cms-assets/cms/product/f0818187-30f4-4db4-849e-35be7d703891.png;https://cdn.grofers.com/da/cms-assets/cms/product/91162fe7-773b-4393-91d0-36d5cac5e660.png;https://cdn.grofers.com/da/cms-assets/cms/product/107bf52c-2437-4cfa-86b9-95f5db941beb.png;https://cdn.grofers.com/da/cms-assets/cms/product/15ba14eb-dc25-47b6-a9c8-c30ceb6f013d.png;https://cdn.grofers.com/da/cms-assets/cms/product/a1df600f-714b-41d4-a2c1-569bf2206e5f.png;https://cdn.grofers.com/da/cms-assets/cms/product/d32ef1f8-8e4c-4ffc-a0c8-e0abbd1965e0.png;https://cdn.grofers.com/da/cms-assets/cms/product/5b14c0a6-0f6c-43fe-8fd7-4f16e2994789.png;https://cdn.grofers.com/da/cms-assets/cms/product/604ab573-9d0b-4998-9af6-9d0de0a4ca78.png;https://cdn.grofers.com/da/cms-assets/cms/product/c823b2fc-0c4a-45c1-82eb-0a5326d60b77.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,5,4.290000
blinkit,Vegetables,35568,438113,438113,Cauliflower (Hoo Kosu),,35,26,1 piece (300-500 g),True,30,30,Fresh Vegetables,Cauliflower,https://cdn.grofers.com/da/cms-assets/cms/product/c2b29fc5-ea91-406f-b97e-4c430504e19f.png;https://cdn.grofers.com/da/cms-assets/cms/product/1d3b3354-e24f-4032-b594-631faa0b00a3.png;https://cdn.grofers.com/da/cms-assets/cms/product/7b2f2fb2-e927-4c93-b634-5592affe05f7.png;https://cdn.grofers.com/da/cms-assets/cms/product/fc65e212-78df-49f6-a4ec-3886423af1ca.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,6,0
blinkit,Vegetables,35568,602448,602448,Organically Grown Brinjal Bharta - 500 g (Badanekayi),Healthy Buddha,95,72,500 g,True,1,1,Certified Organic,Brinjal,https://cdn.grofers.com/da/cms-assets/cms/product/26685220-0429-4898-835b-e96a157aa394.png;https://cdn.grofers.com/da/cms-assets/cms/product/dd2fe76c-5854-47a4-8065-61615cf532b9.png;https://cdn.grofers.com/da/cms-assets/cms/product/f1240cb1-928a-49be-9125-37c453cdd21e.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,7,0
blinkit,Vegetables,35568,3881,3881,Hybrid Tomato 500 g,,21,16,500 g,True,50,50,Fresh Vegetables,Tomato,https://cdn.grofers.com/da/cms-assets/cms/product/4cd11feb-f6df-4830-9fa1-a5f39f08fc3f.png;https://cdn.grofers.com/da/cms-assets/cms/product/47cf3540-65a7-4500-a54e-7a6a183f2a75.png;https://cdn.grofers.com/da/cms-assets/cms/product/19fae49e-2d12-4e23-abde-e60f08182ad0.png;https://cdn.grofers.com/da/cms-assets/cms/product/ba669458-bf4e-4427-b2c3-7467d8c5e649.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,8,0
blinkit,Vegetables,35568,449124,449124,ITC Master Chef Farmland Frozen Green Peas,ITC Master Chef,320,151,1 kg,True,6,6,Frozen Peas & Corn,Frozen Green Peas,https://cdn.grofers.com/da/cms-assets/cms/product/ca606dd9-42ef-4717-860f-845fc89b8e8b.png;https://cdn.grofers.com/da/cms-assets/cms/product/8f28b8dd-e48a-42cf-b11c-42305a5dcaa8.png;https://cdn.grofers.com/da/cms-assets/cms/product/c05aa7aa-8de0-4c21-bb49-0a875c579f4b.png;https://cdn.grofers.com/da/cms-assets/cms/product/1e5fe448-a970-4304-9103-986e1231566a.png;https://cdn.grofers.com/da/cms-assets/cms/product/53fdd769-41bc-418f-a698-fa7a18ac64b5.png;https://cdn.grofers.com/da/cms-assets/cms/product/9a7d13e3-5e34-4017-ada5-2501516e5a7a.png;https://cdn.grofers.com/da/cms-assets/cms/product/a0895e79-4384-4bc5-bee0-05fc23eaad15.png;https://cdn.grofers.com/da/cms-assets/cms/product/85b2e070-5649-4f85-8ba8-4989785ecb70.png;https://cdn.grofers.com/da/cms-assets/cms/product/c30f2dbe-2cb4-42ac-a146-c1f722e87273.png;https://cdn.grofers.com/app/images/products/common/customer_care.jpg,9,4.569000
